Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price(in Lakh),Location
Maruti New Wagon-R VXI (O) 1.2,New Wagon-R VXI (O) 1.2,Maruti,2020,PETROL,15178,Manual,593000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2011,PETROL,104553,Manual,358000,Bangalore
KIA SONET HTK PLUS 1.2 PETROL MT,SONET HTK PLUS 1.2 PETROL MT,KIA,2023,PETROL,21630,Manual,890000,Bangalore
Maruti OMNI E STD,OMNI E STD,Maruti,2014,PETROL,64243,Manual,273000,Bangalore
Maruti Celerio ZXI AMT (O),Celerio ZXI AMT (O),Maruti,2018,PETROL,95626,Automatic,416000,Bangalore
Tata ALTROZ XE PETROL,ALTROZ XE PETROL,Tata,2021,PETROL,20428,Manual,626000,Bangalore
Maruti Omni 5 STR,Omni 5 STR,Maruti,2012,PETROL,37089,Manual,244000,Bangalore
Tata PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,Tata,2023,PETROL,1848,Automatic,973000,Bangalore
Maruti Ciaz ZXI AT,Ciaz ZXI AT,Maruti,2016,PETROL,87285,Automatic,613000,Bangalore
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2016,PETROL,70208,Manual,378000,Bangalore
Tata ALTROZ XE PETROL,ALTROZ XE PETROL,Tata,2021,PETROL,31073,Manual,631000,Bangalore
Renault TRIBER RXZ AMT,TRIBER RXZ AMT,Renault,2020,PETROL,19907,Automatic,705000,Bangalore
Maruti Swift ZXI AMT,Swift ZXI AMT,Maruti,2019,PETROL,21955,Automatic,692000,Bangalore
Maruti Celerio VXI AMT,Celerio VXI AMT,Maruti,2014,PETROL,44064,Automatic,363000,Bangalore
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,Hyundai,2022,CNG,16247,Manual,786000,Bangalore
KIA SELTOS HTX 1.5 PETROL,SELTOS HTX 1.5 PETROL,KIA,2019,PETROL,51695,Manual,1160000,Bangalore
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2016,PETROL,39182,Manual,372000,Bangalore
Honda Jazz 1.2L I-VTEC ZX,Jazz 1.2L I-VTEC ZX,Honda,2020,PETROL,62299,Manual,790000,Bangalore
Hyundai Verna FLUIDIC 1.6 CRDI SX,Verna FLUIDIC 1.6 CRDI SX,Hyundai,2013,DIESEL,46332,Manual,536000,Bangalore
Maruti S Cross ZETA 1.3,S Cross ZETA 1.3,Maruti,2016,DIESEL,78922,Manual,721000,Bangalore
Honda Jazz 1.2L I-VTEC X,Jazz 1.2L I-VTEC X,Honda,2012,PETROL,32864,Manual,382000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2023,PETROL,9075,Manual,761000,Bangalore
Hyundai Elite i20 ASTA 1.2,Elite i20 ASTA 1.2,Hyundai,2015,PETROL,88718,Manual,493000,Bangalore
Hyundai GRAND I10 NIOS SPORTZ 1.0 TURBO GDI,GRAND I10 NIOS SPORTZ 1.0 TURBO GDI,Hyundai,2022,PETROL,17693,Manual,698000,Bangalore
Honda Amaze 1.2L I-VTEC S,Amaze 1.2L I-VTEC S,Honda,2018,PETROL,54566,Manual,550000,Bangalore
Hyundai NEW SANTRO SPORTZ MT,NEW SANTRO SPORTZ MT,Hyundai,2019,PETROL,33811,Manual,533000,Bangalore
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2016,PETROL,86034,Manual,359000,Bangalore
Honda Brio S MT,Brio S MT,Honda,2013,PETROL,27050,Manual,338000,Bangalore
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2018,PETROL,72597,Manual,453000,Bangalore
Hyundai VENUE SX 1.0 TURBO,VENUE SX 1.0 TURBO,Hyundai,2019,PETROL,69173,Manual,796000,Bangalore
Maruti Ertiga ZXI AT SHVS,Ertiga ZXI AT SHVS,Maruti,2022,PETROL,29126,Automatic,1280000,Bangalore
Renault Duster 85 PS RXL DIESEL,Duster 85 PS RXL DIESEL,Renault,2014,DIESEL,80922,Manual,601000,Bangalore
Maruti Celerio VXI (O),Celerio VXI (O),Maruti,2016,PETROL,36837,Manual,412000,Bangalore
Maruti New Wagon-R LXI 1.0,New Wagon-R LXI 1.0,Maruti,2021,PETROL,42481,Manual,540000,Bangalore
Renault Kwid RXL 1.0,Kwid RXL 1.0,Renault,2017,PETROL,62303,Manual,311000,Bangalore
Tata TIGOR XZA PETROL,TIGOR XZA PETROL,Tata,2018,PETROL,70793,Automatic,520000,Bangalore
Hyundai Creta EX 1.5 PETROL,Creta EX 1.5 PETROL,Hyundai,2022,PETROL,15137,Manual,1170000,Bangalore
Hyundai i10 SPORTZ 1.2,i10 SPORTZ 1.2,Hyundai,2013,PETROL,34376,Manual,311000,Bangalore
Maruti Alto K10 VXI (O) AMT,Alto K10 VXI (O) AMT,Maruti,2016,PETROL,30851,Automatic,369000,Bangalore
Mahindra XUV300 W6 1.2 PETROL AMT,XUV300 W6 1.2 PETROL AMT,Mahindra,2021,PETROL,7931,Automatic,1040000,Bangalore
Renault Kwid RXL,Kwid RXL,Renault,2018,PETROL,45146,Manual,295000,Bangalore
Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,Grand i10 ASTA (O) 1.2 KAPPA VTVT,Hyundai,2015,PETROL,67557,Manual,429000,Bangalore
Renault Kwid RXT 0.8 (O),Kwid RXT 0.8 (O),Renault,2016,PETROL,37599,Manual,297000,Bangalore
Hyundai i20 MAGNA 1.2,i20 MAGNA 1.2,Hyundai,2011,PETROL,89386,Manual,258000,Bangalore
Tata PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,Tata,2022,PETROL,26123,Automatic,856000,Bangalore
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Hyundai,2023,PETROL,11028,Manual,754000,Bangalore
Tata Safari XZA PLUS DARK EDITION,Safari XZA PLUS DARK EDITION,Tata,2022,DIESEL,15681,Automatic,2240000,Bangalore
Maruti S PRESSO LXI,S PRESSO LXI,Maruti,2021,PETROL,35273,Manual,368000,Bangalore
Honda City 1.5L I-VTEC SV CVT,City 1.5L I-VTEC SV CVT,Honda,2015,PETROL,37511,Automatic,596000,Bangalore
Honda Jazz 1.2L I-VTEC V,Jazz 1.2L I-VTEC V,Honda,2019,PETROL,20269,Manual,620000,Bangalore
Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,Hyundai,2022,PETROL,40038,Manual,596000,Bangalore
Honda Civic 1.8L I-VTEC ZX CVT,Civic 1.8L I-VTEC ZX CVT,Honda,2019,PETROL,20315,Automatic,1910000,Bangalore
Hyundai New Elantra 2.0 SX(O) AT PETROL,New Elantra 2.0 SX(O) AT PETROL,Hyundai,2019,PETROL,14129,Automatic,1530000,Bangalore
Honda WR-V 1.2L I-VTEC VX MT,WR-V 1.2L I-VTEC VX MT,Honda,2017,PETROL,46533,Manual,700000,Bangalore
Maruti A Star LXI,A Star LXI,Maruti,2010,PETROL,103867,Manual,203000,Bangalore
Maruti Swift Dzire ZXI,Swift Dzire ZXI,Maruti,2016,PETROL,86301,Manual,564000,Bangalore
Tata Tiago XT PETROL,Tiago XT PETROL,Tata,2017,PETROL,45575,Manual,450000,Bangalore
Maruti Vitara Brezza VDI (O),Vitara Brezza VDI (O),Maruti,2017,DIESEL,109407,Manual,721000,Bangalore
Maruti New Wagon-R VXI (O) 1.2 AMT,New Wagon-R VXI (O) 1.2 AMT,Maruti,2019,PETROL,16796,Automatic,561000,Bangalore
Hyundai i20 SPORTZ 1.2,i20 SPORTZ 1.2,Hyundai,2012,PETROL,64048,Manual,349000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2011,PETROL,86282,Manual,322000,Bangalore
Honda City 1.5L I-VTEC SV,City 1.5L I-VTEC SV,Honda,2014,PETROL,120786,Manual,460000,Bangalore
Tata PUNCH CREATIVE iRA PACK MT,PUNCH CREATIVE iRA PACK MT,Tata,2023,PETROL,14518,Manual,932000,Bangalore
Honda Civic 1.8L I-VTEC ZX CVT,Civic 1.8L I-VTEC ZX CVT,Honda,2019,PETROL,32601,Automatic,1830000,Bangalore
Mahindra BOLERO NEO N 8,BOLERO NEO N 8,Mahindra,2023,DIESEL,17862,Manual,1060000,Bangalore
Hyundai Creta E PLUS 1.6 PETROL,Creta E PLUS 1.6 PETROL,Hyundai,2016,PETROL,54309,Manual,820000,Bangalore
Maruti IGNIS DELTA 1.2,IGNIS DELTA 1.2,Maruti,2017,PETROL,56427,Manual,466000,Bangalore
Renault Duster RXS CVT,Duster RXS CVT,Renault,2019,PETROL,67575,Automatic,707000,Bangalore
Hyundai Verna FLUIDIC 1.6 VTVT SX,Verna FLUIDIC 1.6 VTVT SX,Hyundai,2012,PETROL,88309,Manual,436000,Bangalore
Hyundai AURA SX 1.2,AURA SX 1.2,Hyundai,2020,PETROL,21521,Manual,655000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2018,PETROL,43237,Manual,492000,Bangalore
Hyundai i10 MAGNA 1.1,i10 MAGNA 1.1,Hyundai,2015,PETROL,65097,Manual,341000,Bangalore
Honda Brio VX AT,Brio VX AT,Honda,2014,PETROL,93107,Automatic,391000,Bangalore
Maruti IGNIS ZETA 1.2 AMT,IGNIS ZETA 1.2 AMT,Maruti,2017,PETROL,95525,Automatic,465000,Bangalore
Hyundai Verna 1.6 VTVT SX,Verna 1.6 VTVT SX,Hyundai,2018,PETROL,32982,Manual,846000,Bangalore
Honda City 1.5L I-VTEC VX,City 1.5L I-VTEC VX,Honda,2015,PETROL,52322,Manual,604000,Bangalore
Hyundai i10 SPORTZ 1.2,i10 SPORTZ 1.2,Hyundai,2012,PETROL,75384,Manual,312000,Bangalore
Tata ALTROZ XZA PLUS,ALTROZ XZA PLUS,Tata,2022,PETROL,6161,Automatic,897000,Bangalore
Hyundai NEW SANTRO MAGNA,NEW SANTRO MAGNA,Hyundai,2020,PETROL,29027,Manual,451000,Bangalore
