Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price(in Lakh),Location
Tata Tiago XZ PLUS DUAL TONE PETROL,Tiago XZ PLUS DUAL TONE PETROL,Tata,2020,PETROL,25101,Manual,568000,Bangalore
Maruti Swift ZXI PLUS,Swift ZXI PLUS,Maruti,2019,PETROL,25462,Manual,728000,Bangalore
Maruti Ertiga VXI AT,Ertiga VXI AT,Maruti,2017,PETROL,88211,Automatic,718000,Bangalore
Tata NEXON XZA PLUS DIESEL,NEXON XZA PLUS DIESEL,Tata,2018,DIESEL,63671,Automatic,872000,Bangalore
Honda City 1.5L I-VTEC S MT,City 1.5L I-VTEC S MT,Honda,2012,PETROL,101853,Manual,374000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,PETROL,96375,Manual,436000,Bangalore
Maruti Swift VXI AMT,Swift VXI AMT,Maruti,2023,PETROL,13994,Automatic,763000,Bangalore
Mahindra XUV500 W6,XUV500 W6,Mahindra,2014,DIESEL,93087,Manual,757000,Bangalore
Maruti Vitara Brezza VDI (O),Vitara Brezza VDI (O),Maruti,2016,DIESEL,58038,Manual,797000,Bangalore
Maruti Ciaz VXI+,Ciaz VXI+,Maruti,2015,PETROL,95738,Manual,517000,Bangalore
Maruti Swift Dzire VXI,Swift Dzire VXI,Maruti,2013,PETROL,70963,Manual,435000,Bangalore
Honda Amaze 1.2L I-VTEC VX,Amaze 1.2L I-VTEC VX,Honda,2013,PETROL,43884,Manual,391000,Bangalore
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2014,PETROL,76725,Manual,384000,Bangalore
Maruti Dzire VXI AMT,Dzire VXI AMT,Maruti,2017,PETROL,48051,Automatic,541000,Bangalore
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2015,PETROL,77640,Manual,359000,Bangalore
Renault Kwid CLIMBER 1.0,Kwid CLIMBER 1.0,Renault,2019,PETROL,27220,Manual,388000,Bangalore
Renault Duster RXZ 1.5 PETROL MT,Duster RXZ 1.5 PETROL MT,Renault,2021,PETROL,18262,Manual,926000,Bangalore
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Grand i10 ASTA 1.2 KAPPA VTVT,Hyundai,2018,PETROL,117675,Manual,496000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2021,PETROL,10637,Manual,693000,Bangalore
Renault Duster RXL 1.6 PETROL,Duster RXL 1.6 PETROL,Renault,2017,PETROL,48000,Manual,625000,Bangalore
Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,Hyundai,2020,PETROL,17285,Automatic,676000,Bangalore
Maruti Alto K10 VXI PLUS,Alto K10 VXI PLUS,Maruti,2023,PETROL,8882,Manual,515000,Bangalore
Mahindra TUV300 T8,TUV300 T8,Mahindra,2016,DIESEL,98798,Manual,620000,Bangalore
Maruti Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Maruti,2022,PETROL,9254,Manual,763000,Bangalore
KIA SONET HTK PLUS 1.2,SONET HTK PLUS 1.2,KIA,2022,PETROL,14811,Manual,951000,Bangalore
Maruti Swift Dzire VXI,Swift Dzire VXI,Maruti,2014,PETROL,100458,Manual,417000,Bangalore
Maruti Ciaz ZXI+ AT,Ciaz ZXI+ AT,Maruti,2017,PETROL,73371,Automatic,661000,Bangalore
Maruti Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Maruti,2017,PETROL,75431,Manual,586000,Bangalore
Mahindra XUV500 W11 AT,XUV500 W11 AT,Mahindra,2018,DIESEL,60820,Automatic,1520000,Bangalore
Maruti Ritz VXI,Ritz VXI,Maruti,2013,PETROL,73335,Manual,368000,Bangalore
Maruti Swift ZXI,Swift ZXI,Maruti,2014,PETROL,56168,Manual,516000,Bangalore
Honda Brio S MT,Brio S MT,Honda,2016,PETROL,53924,Manual,386000,Bangalore
Renault Kwid RXT 1.0 AMT,Kwid RXT 1.0 AMT,Renault,2018,PETROL,29224,Automatic,377000,Bangalore
Honda City 1.5L I-VTEC V AT,City 1.5L I-VTEC V AT,Honda,2012,PETROL,110307,Automatic,406000,Bangalore
Renault TRIBER RXZ,TRIBER RXZ,Renault,2020,PETROL,41840,Manual,611000,Bangalore
Hyundai AURA SX PLUS 1.2 AMT,AURA SX PLUS 1.2 AMT,Hyundai,2020,PETROL,74849,Automatic,637000,Bangalore
Maruti Swift ZXI AMT,Swift ZXI AMT,Maruti,2018,PETROL,54397,Automatic,665000,Bangalore
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2021,PETROL,26041,Manual,633000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2014,PETROL,95421,Manual,420000,Bangalore
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2011,PETROL,38782,Manual,266000,Bangalore
Hyundai Elite i20 SPORTZ PLUS 1.2,Elite i20 SPORTZ PLUS 1.2,Hyundai,2019,PETROL,39915,Manual,701000,Bangalore
Maruti Swift Dzire VXI,Swift Dzire VXI,Maruti,2014,PETROL,61511,Manual,421000,Bangalore
Hyundai Creta SX PLUS 1.6 PETROL,Creta SX PLUS 1.6 PETROL,Hyundai,2017,PETROL,61235,Manual,903000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2014,PETROL,71516,Manual,478000,Bangalore
Maruti Swift Dzire VXI,Swift Dzire VXI,Maruti,2013,PETROL,98155,Manual,437000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2016,PETROL,44499,Manual,512000,Bangalore
Tata NEXON XZA PLUS PETROL,NEXON XZA PLUS PETROL,Tata,2020,PETROL,40443,Automatic,890000,Bangalore
Maruti Celerio VXI AMT,Celerio VXI AMT,Maruti,2015,PETROL,29628,Automatic,414000,Bangalore
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2017,PETROL,28474,Manual,503000,Bangalore
Honda Amaze 1.2L I-VTEC VX CVT,Amaze 1.2L I-VTEC VX CVT,Honda,2019,PETROL,41243,Automatic,719000,Bangalore
Tata NEXON XZA PLUS DIESEL,NEXON XZA PLUS DIESEL,Tata,2018,DIESEL,34059,Automatic,977000,Bangalore
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Grand i10 ASTA 1.2 KAPPA VTVT,Hyundai,2017,PETROL,45003,Manual,500000,Bangalore
Hyundai i10 MAGNA 1.2,i10 MAGNA 1.2,Hyundai,2011,PETROL,72455,Manual,271000,Bangalore
Hyundai i10 ERA 1.1,i10 ERA 1.1,Hyundai,2012,PETROL,56699,Manual,269000,Bangalore
Maruti S PRESSO VXI PLUS AMT,S PRESSO VXI PLUS AMT,Maruti,2020,PETROL,24864,Automatic,479000,Bangalore
Hyundai Grand i10 MAGNA 1.1 CRDI,Grand i10 MAGNA 1.1 CRDI,Hyundai,2014,DIESEL,54106,Manual,458000,Bangalore
Maruti Baleno ZETA CVT PETROL 1.2,Baleno ZETA CVT PETROL 1.2,Maruti,2021,PETROL,29413,Automatic,863000,Bangalore
Maruti Ciaz VDI (O) SHVS,Ciaz VDI (O) SHVS,Maruti,2015,DIESEL,87856,Manual,600000,Bangalore
Hyundai i10 ASTA 1.2,i10 ASTA 1.2,Hyundai,2013,PETROL,61285,Manual,411000,Bangalore
Hyundai Xcent SX AT 1.2 (O),Xcent SX AT 1.2 (O),Hyundai,2014,PETROL,96431,Automatic,422000,Bangalore
Renault Duster 110 PS RXZ DIESEL PLUS,Duster 110 PS RXZ DIESEL PLUS,Renault,2015,DIESEL,105373,Manual,639000,Bangalore
Maruti Swift Dzire VDI,Swift Dzire VDI,Maruti,2012,DIESEL,69502,Manual,377000,Bangalore
Honda Brio S MT,Brio S MT,Honda,2012,PETROL,74427,Manual,302000,Bangalore
Maruti Baleno ALPHA PETROL 1.2,Baleno ALPHA PETROL 1.2,Maruti,2018,PETROL,26449,Manual,708000,Bangalore
Honda Jazz 1.2L I-VTEC V AT,Jazz 1.2L I-VTEC V AT,Honda,2016,PETROL,74069,Automatic,554000,Bangalore
Maruti Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Maruti,2016,PETROL,29641,Manual,628000,Bangalore
Maruti Alto K10 VXI (O) AMT,Alto K10 VXI (O) AMT,Maruti,2016,PETROL,15385,Automatic,416000,Bangalore
Maruti S PRESSO VXI+,S PRESSO VXI+,Maruti,2020,PETROL,21196,Manual,436000,Bangalore
Hyundai Verna 1.6 VTVT SX (O) AT,Verna 1.6 VTVT SX (O) AT,Hyundai,2018,PETROL,19792,Automatic,994000,Bangalore
Renault Duster RXS CVT,Duster RXS CVT,Renault,2018,PETROL,69110,Automatic,766000,Bangalore
Honda City 1.5L I-VTEC SV,City 1.5L I-VTEC SV,Honda,2014,PETROL,55894,Manual,547000,Bangalore
Hyundai Xcent S (O) 1.2,Xcent S (O) 1.2,Hyundai,2015,PETROL,88423,Manual,395000,Bangalore
Maruti Dzire VXI AMT,Dzire VXI AMT,Maruti,2017,PETROL,29486,Automatic,625000,Bangalore
Maruti Swift ZXI,Swift ZXI,Maruti,2012,PETROL,105772,Manual,388000,Bangalore
Hyundai Xcent S 1.2,Xcent S 1.2,Hyundai,2014,PETROL,82065,Manual,376000,Bangalore
Mahindra TUV300 T8,TUV300 T8,Mahindra,2017,DIESEL,32940,Manual,806000,Bangalore
Renault Duster 85 PS RXL DIESEL,Duster 85 PS RXL DIESEL,Renault,2013,DIESEL,88309,Manual,432000,Bangalore
Honda City 1.5L I-VTEC VX,City 1.5L I-VTEC VX,Honda,2018,PETROL,70183,Manual,799000,Bangalore
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2019,PETROL,14199,Manual,483000,Bangalore
Maruti Swift Dzire VXI,Swift Dzire VXI,Maruti,2011,PETROL,61266,Manual,355000,Bangalore
Maruti S PRESSO VXI+,S PRESSO VXI+,Maruti,2020,PETROL,31237,Manual,428000,Bangalore
Honda WR-V 1.5L I-DTEC VX MT,WR-V 1.5L I-DTEC VX MT,Honda,2018,DIESEL,84652,Manual,740000,Bangalore
Maruti Ertiga VXI SHVS,Ertiga VXI SHVS,Maruti,2022,PETROL,9884,Manual,1030000,Bangalore
Maruti Celerio VXI,Celerio VXI,Maruti,2015,PETROL,13855,Manual,415000,Bangalore
Hyundai Xcent E+,Xcent E+,Hyundai,2018,PETROL,73536,Manual,456000,Bangalore
Maruti Eeco 5 STR WITH A/C+HTR,Eeco 5 STR WITH A/C+HTR,Maruti,2018,PETROL,66374,Manual,445000,Bangalore
Mahindra XUV500 W11,XUV500 W11,Mahindra,2018,DIESEL,44080,Manual,1380000,Bangalore
Maruti Alto K10 VXI (O) AMT,Alto K10 VXI (O) AMT,Maruti,2017,PETROL,17897,Automatic,418000,Bangalore
Maruti Baleno RS 1.0 PETROL,Baleno RS 1.0 PETROL,Maruti,2018,PETROL,61005,Manual,654000,Bangalore
Hyundai Elite i20 SPORTZ PLUS 1.2 CVT,Elite i20 SPORTZ PLUS 1.2 CVT,Hyundai,2019,PETROL,38639,Automatic,743000,Bangalore
Hyundai Creta S 1.5 PETROL,Creta S 1.5 PETROL,Hyundai,2020,PETROL,30447,Manual,1180000,Bangalore
Maruti Baleno SIGMA PETROL 1.2,Baleno SIGMA PETROL 1.2,Maruti,2022,PETROL,7259,Manual,697000,Bangalore
Tata NEXON XM PETROL,NEXON XM PETROL,Tata,2018,PETROL,38482,Manual,635000,Bangalore
Maruti Ertiga ZDI,Ertiga ZDI,Maruti,2015,DIESEL,57858,Manual,775000,Bangalore
Tata TIGOR XZ PETROL,TIGOR XZ PETROL,Tata,2017,PETROL,64330,Manual,484000,Bangalore
Honda City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Honda,2016,PETROL,58750,Manual,625000,Bangalore
Maruti Alto 800 LXI,Alto 800 LXI,Maruti,2015,PETROL,48319,Manual,313000,Bangalore
Renault TRIBER RXE MT,TRIBER RXE MT,Renault,2020,PETROL,18429,Manual,541000,Bangalore
Hyundai Creta SX (O) 1.6 PETROL,Creta SX (O) 1.6 PETROL,Hyundai,2019,PETROL,60704,Manual,1080000,Bangalore
Tata NEXON XZ PLUS DIESEL,NEXON XZ PLUS DIESEL,Tata,2018,DIESEL,69566,Manual,750000,Bangalore
Honda Amaze 1.5L I-DTEC EX,Amaze 1.5L I-DTEC EX,Honda,2013,DIESEL,73662,Manual,351000,Bangalore
Maruti Ertiga VXI,Ertiga VXI,Maruti,2016,PETROL,86518,Manual,716000,Bangalore
Honda City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Honda,2015,PETROL,40477,Manual,597000,Bangalore
Hyundai Elite i20 SPORTZ 1.2,Elite i20 SPORTZ 1.2,Hyundai,2016,PETROL,50641,Manual,590000,Bangalore
Maruti Ciaz ZXI+ AT,Ciaz ZXI+ AT,Maruti,2016,PETROL,45263,Automatic,668000,Bangalore
Maruti Dzire ZDI PLUS AMT,Dzire ZDI PLUS AMT,Maruti,2017,DIESEL,89319,Automatic,706000,Bangalore
Maruti Vitara Brezza ZXI PLUS AT SHVS,Vitara Brezza ZXI PLUS AT SHVS,Maruti,2021,PETROL,22250,Automatic,1050000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2018,PETROL,37330,Manual,577000,Bangalore
KIA SELTOS HTX IVT 1.5 PETROL,SELTOS HTX IVT 1.5 PETROL,KIA,2019,PETROL,43392,Automatic,1260000,Bangalore
Maruti Celerio ZXI (O),Celerio ZXI (O),Maruti,2014,PETROL,29601,Manual,395000,Bangalore
Hyundai Elite i20 SPORTZ PLUS 1.2,Elite i20 SPORTZ PLUS 1.2,Hyundai,2019,PETROL,21733,Manual,727000,Bangalore
Hyundai Creta SX 1.6 PETROL DUAL TONE,Creta SX 1.6 PETROL DUAL TONE,Hyundai,2019,PETROL,36336,Manual,1050000,Bangalore
Hyundai Elite i20 SPORTZ 1.2,Elite i20 SPORTZ 1.2,Hyundai,2017,PETROL,78959,Manual,567000,Bangalore
Maruti Grand Vitara SIGMA SMART HYBRID,Grand Vitara SIGMA SMART HYBRID,Maruti,2023,PETROL,20888,Manual,1110000,Bangalore
Mahindra XUV500 W8,XUV500 W8,Mahindra,2015,DIESEL,91778,Manual,843000,Bangalore
Tata Tiago XZA PETROL,Tiago XZA PETROL,Tata,2018,PETROL,21979,Automatic,528000,Bangalore
Renault Duster RXS CVT,Duster RXS CVT,Renault,2017,PETROL,28124,Automatic,755000,Bangalore
Renault Duster RXS CVT,Duster RXS CVT,Renault,2017,PETROL,21357,Automatic,730000,Bangalore
Tata NEXON XZA PLUS SUNROOF PETROL,NEXON XZA PLUS SUNROOF PETROL,Tata,2021,PETROL,35445,Automatic,1030000,Bangalore
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2016,PETROL,70138,Manual,392000,Bangalore
Honda City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Honda,2015,PETROL,71841,Manual,559000,Bangalore
Renault TRIBER RXE MT,TRIBER RXE MT,Renault,2021,PETROL,4252,Manual,582000,Bangalore
Maruti Ertiga ZXI+ AT SHVS,Ertiga ZXI+ AT SHVS,Maruti,2023,PETROL,11016,Automatic,1360000,Bangalore
Maruti Ciaz ALPHA 1.5 SHVS PETROL,Ciaz ALPHA 1.5 SHVS PETROL,Maruti,2018,PETROL,91521,Manual,655000,Bangalore
Maruti Alto VXI PLUS,Alto VXI PLUS,Maruti,2021,PETROL,28158,Manual,408000,Bangalore
Maruti Dzire ZXI,Dzire ZXI,Maruti,2018,PETROL,68309,Manual,609000,Bangalore
Maruti Celerio VXI,Celerio VXI,Maruti,2015,PETROL,39773,Manual,420000,Bangalore
Maruti Alto 800 LXI,Alto 800 LXI,Maruti,2018,PETROL,83465,Manual,274000,Kolkata
Maruti Vitara Brezza ZXI,Vitara Brezza ZXI,Maruti,2021,PETROL,33743,Manual,734000,Kolkata
Hyundai GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,Hyundai,2021,PETROL,22615,Automatic,671000,Kolkata
Hyundai VENUE S 1.2,VENUE S 1.2,Hyundai,2020,PETROL,15050,Manual,690000,Kolkata
Mahindra XUV300 W4 1.5 DIESEL,XUV300 W4 1.5 DIESEL,Mahindra,2020,DIESEL,73877,Manual,674000,Kolkata
Maruti Celerio X ZXI,Celerio X ZXI,Maruti,2018,PETROL,22956,Manual,367000,Kolkata
Hyundai Verna 1.4 EX PETROL,Verna 1.4 EX PETROL,Hyundai,2018,PETROL,95648,Manual,558000,Kolkata
Honda City 1.5L I-DTEC V,City 1.5L I-DTEC V,Honda,2014,DIESEL,54754,Manual,378000,Kolkata
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2012,PETROL,47129,Manual,216000,Kolkata
Honda Jazz 1.2L I-VTEC VX,Jazz 1.2L I-VTEC VX,Honda,2015,PETROL,33228,Manual,374000,Kolkata
Honda City 1.5L I-VTEC ZX CVT,City 1.5L I-VTEC ZX CVT,Honda,2018,PETROL,68783,Automatic,779000,Kolkata
Maruti Alto 800 LXI UTSAV LIMITED EDITION,Alto 800 LXI UTSAV LIMITED EDITION,Maruti,2018,PETROL,31309,Manual,282000,Kolkata
Mahindra KUV 100 NXT K8 P 6 STR,KUV 100 NXT K8 P 6 STR,Mahindra,2019,PETROL,4800,Manual,530000,Kolkata
Hyundai Xcent S 1.2 SPECIAL EDITION,Xcent S 1.2 SPECIAL EDITION,Hyundai,2016,PETROL,55447,Manual,339000,Kolkata
Honda WR-V 1.2L I-VTEC S MT,WR-V 1.2L I-VTEC S MT,Honda,2019,PETROL,20314,Manual,564000,Kolkata
Tata Tiago XZ PLUS CNG,Tiago XZ PLUS CNG,Tata,2022,CNG,16803,Manual,612000,Kolkata
Hyundai Elite i20 ASTA 1.2 (O),Elite i20 ASTA 1.2 (O),Hyundai,2018,PETROL,19331,Manual,555000,Kolkata
KIA SONET GTX PLUS 1.0 IMT,SONET GTX PLUS 1.0 IMT,KIA,2021,PETROL,48599,Manual,939000,Kolkata
Hyundai VENUE SX PLUS 1.0 TURBO DCT,VENUE SX PLUS 1.0 TURBO DCT,Hyundai,2019,PETROL,31927,Automatic,811000,Kolkata
Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,Hyundai,2021,PETROL,15700,Automatic,613000,Kolkata
Tata ALTROZ XZ PLUS PETROL,ALTROZ XZ PLUS PETROL,Tata,2020,PETROL,12191,Manual,621000,Kolkata
Honda City 1.5L I-VTEC ZX,City 1.5L I-VTEC ZX,Honda,2019,PETROL,20804,Manual,808000,Kolkata
Renault Kwid CLIMBER 1.0 (O),Kwid CLIMBER 1.0 (O),Renault,2019,PETROL,19801,Manual,371000,Kolkata
Tata Tiago XM CNG,Tiago XM CNG,Tata,2022,CNG,3965,Manual,534000,Kolkata
Honda City 1.5L I-VTEC ZX CVT,City 1.5L I-VTEC ZX CVT,Honda,2020,PETROL,53592,Automatic,939000,Kolkata
Renault Kwid CLIMBER 1.0 (O),Kwid CLIMBER 1.0 (O),Renault,2019,PETROL,20214,Manual,377000,Kolkata
Renault Kwid CLIMBER 1.0 AMT (O),Kwid CLIMBER 1.0 AMT (O),Renault,2021,PETROL,23214,Automatic,433000,Kolkata
Renault Kwid RXT 0.8,Kwid RXT 0.8,Renault,2020,PETROL,13648,Manual,336000,Kolkata
Maruti New Wagon-R LXI 1.0,New Wagon-R LXI 1.0,Maruti,2022,PETROL,8807,Manual,569000,Kolkata
Renault Duster 110 PS RXZ 4X4 MT DIESEL,Duster 110 PS RXZ 4X4 MT DIESEL,Renault,2018,DIESEL,72404,Manual,663000,Kolkata
Tata TIGOR XZ PLUS PETROL,TIGOR XZ PLUS PETROL,Tata,2022,PETROL,27009,Manual,577000,Kolkata
Mahindra XUV300 W8 1.2 PETROL,XUV300 W8 1.2 PETROL,Mahindra,2020,PETROL,50172,Manual,749000,Kolkata
Maruti Alto LXI,Alto LXI,Maruti,2021,PETROL,6820,Manual,321000,Kolkata
Hyundai VENUE SX 1.0 TURBO IMT,VENUE SX 1.0 TURBO IMT,Hyundai,2021,PETROL,6820,Manual,883000,Kolkata
Maruti New Wagon-R ZXI 1.2,New Wagon-R ZXI 1.2,Maruti,2022,PETROL,16176,Manual,555000,Kolkata
Hyundai VENUE SX PLUS 1.0 TURBO DCT,VENUE SX PLUS 1.0 TURBO DCT,Hyundai,2021,PETROL,24551,Automatic,916000,Kolkata
Renault Kwid RXL 1.0 AMT,Kwid RXL 1.0 AMT,Renault,2021,PETROL,10138,Automatic,422000,Kolkata
Hyundai NEW SANTRO SPORTZ AMT,NEW SANTRO SPORTZ AMT,Hyundai,2019,PETROL,20697,Automatic,442000,Kolkata
Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,Ciaz ALPHA AT 1.5 SHVS PETROL,Maruti,2019,PETROL,22168,Automatic,820000,Kolkata
Maruti Celerio ZXI PLUS,Celerio ZXI PLUS,Maruti,2021,PETROL,19689,Manual,523000,Kolkata
Hyundai NEW SANTRO SPORTZ AMT,NEW SANTRO SPORTZ AMT,Hyundai,2021,PETROL,10256,Automatic,503000,Kolkata
KIA SELTOS HTE 1.5 PETROL,SELTOS HTE 1.5 PETROL,KIA,2022,PETROL,11656,Manual,943000,Kolkata
Maruti Vitara Brezza ZXI PLUS,Vitara Brezza ZXI PLUS,Maruti,2020,PETROL,67127,Manual,660000,Kolkata
Hyundai Elite i20 SPORTZ PLUS 1.2,Elite i20 SPORTZ PLUS 1.2,Hyundai,2019,PETROL,42639,Manual,489000,Kolkata
Maruti Alto LXI O,Alto LXI O,Maruti,2022,PETROL,7278,Manual,363000,Kolkata
Maruti IGNIS ZETA 1.2,IGNIS ZETA 1.2,Maruti,2020,PETROL,7816,Manual,507000,Kolkata
Maruti Celerio LXI,Celerio LXI,Maruti,2021,PETROL,41317,Manual,398000,Kolkata
Hyundai NEW SANTRO SPORTZ AMT,NEW SANTRO SPORTZ AMT,Hyundai,2020,PETROL,11476,Automatic,471000,Kolkata
Hyundai AURA SX 1.2 (O),AURA SX 1.2 (O),Hyundai,2020,PETROL,14593,Manual,654000,Kolkata
Tata NEXON XZ PLUS PETROL,NEXON XZ PLUS PETROL,Tata,2023,PETROL,15457,Manual,1000000,Kolkata
Mahindra KUV 100 NXT K4+ P 6 STR,KUV 100 NXT K4+ P 6 STR,Mahindra,2017,PETROL,49462,Manual,323000,Kolkata
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2017,PETROL,11549,Manual,376000,Kolkata
Maruti Alto VXI,Alto VXI,Maruti,2020,PETROL,38205,Manual,335000,Kolkata
Maruti Dzire VXI,Dzire VXI,Maruti,2018,PETROL,42417,Manual,524000,Kolkata
Maruti Dzire ZXI,Dzire ZXI,Maruti,2017,PETROL,47083,Manual,542000,Kolkata
Mahindra XUV500 W11,XUV500 W11,Mahindra,2019,DIESEL,55744,Manual,1120000,Kolkata
Maruti Alto VXI,Alto VXI,Maruti,2021,PETROL,19253,Manual,365000,Kolkata
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2018,PETROL,19556,Manual,424000,Kolkata
Hyundai VENUE SX 1.0 TURBO,VENUE SX 1.0 TURBO,Hyundai,2019,PETROL,45341,Manual,741000,Kolkata
Tata ALTROZ XZ PETROL,ALTROZ XZ PETROL,Tata,2023,PETROL,4247,Manual,786000,Kolkata
Hyundai Creta SX PLUS 1.6 DIESEL DUAL TONE,Creta SX PLUS 1.6 DIESEL DUAL TONE,Hyundai,2017,DIESEL,96115,Manual,724000,Kolkata
Hyundai Verna 1.6 VTVT SX O,Verna 1.6 VTVT SX O,Hyundai,2018,PETROL,34218,Manual,782000,Kolkata
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2017,PETROL,42734,Manual,352000,Kolkata
Honda Jazz 1.2L I-VTEC V,Jazz 1.2L I-VTEC V,Honda,2015,PETROL,44170,Manual,346000,Kolkata
Hyundai VENUE SX 1.0 TURBO IMT,VENUE SX 1.0 TURBO IMT,Hyundai,2020,PETROL,24931,Manual,806000,Kolkata
Maruti Dzire ZXI PLUS AMT,Dzire ZXI PLUS AMT,Maruti,2018,PETROL,71141,Automatic,570000,Kolkata
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2013,PETROL,62223,Manual,229000,Kolkata
Hyundai Eon ERA +,Eon ERA +,Hyundai,2017,PETROL,28131,Manual,282000,Kolkata
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2017,PETROL,4949,Manual,390000,Kolkata
Hyundai Grand i10 ERA 1.2 KAPPA VTVT,Grand i10 ERA 1.2 KAPPA VTVT,Hyundai,2017,PETROL,15571,Manual,362000,Kolkata
Maruti Swift VXI,Swift VXI,Maruti,2023,PETROL,20462,Manual,647000,Kolkata
Maruti IGNIS ALPHA 1.2,IGNIS ALPHA 1.2,Maruti,2018,PETROL,43443,Manual,457000,Kolkata
Maruti Swift ZXI PLUS DUAL TONE,Swift ZXI PLUS DUAL TONE,Maruti,2022,PETROL,11716,Manual,796000,Kolkata
Maruti Dzire VXI,Dzire VXI,Maruti,2017,PETROL,54286,Manual,473000,Kolkata
Maruti Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Maruti,2020,PETROL,46197,Manual,552000,Kolkata
Renault TRIBER RXT,TRIBER RXT,Renault,2022,PETROL,5750,Manual,620000,Kolkata
Honda Jazz 1.2L I-VTEC V,Jazz 1.2L I-VTEC V,Honda,2019,PETROL,58468,Manual,525000,Kolkata
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2015,PETROL,34580,Manual,345000,Kolkata
Maruti IGNIS ZETA 1.2,IGNIS ZETA 1.2,Maruti,2017,PETROL,27027,Manual,415000,Kolkata
Honda City 1.5L I-VTEC E MT,City 1.5L I-VTEC E MT,Honda,2014,PETROL,60590,Manual,350000,Kolkata
Maruti S PRESSO VXI+,S PRESSO VXI+,Maruti,2021,PETROL,12992,Manual,427000,Kolkata
Maruti IGNIS ZETA 1.2,IGNIS ZETA 1.2,Maruti,2022,PETROL,20634,Manual,619000,Kolkata
Renault TRIBER RXZ,TRIBER RXZ,Renault,2021,PETROL,29603,Manual,593000,Kolkata
Honda Amaze 1.2L I-VTEC VX,Amaze 1.2L I-VTEC VX,Honda,2019,PETROL,54427,Manual,530000,Kolkata
Honda Amaze 1.2L I-VTEC S,Amaze 1.2L I-VTEC S,Honda,2021,PETROL,20227,Manual,576000,Kolkata
Tata Tiago XZA PLUS PETROL,Tiago XZA PLUS PETROL,Tata,2023,PETROL,7889,Automatic,672000,Kolkata
Maruti Swift VXI,Swift VXI,Maruti,2019,PETROL,23964,Manual,485000,Kolkata
Maruti Alto LXI O,Alto LXI O,Maruti,2022,PETROL,1011,Manual,385000,Kolkata
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2018,PETROL,38242,Manual,363000,Kolkata
Hyundai Eon D-LITE+,Eon D-LITE+,Hyundai,2017,PETROL,27803,Manual,214000,Kolkata
Maruti Alto K10 VXI PLUS,Alto K10 VXI PLUS,Maruti,2022,PETROL,2821,Manual,471000,Kolkata
Hyundai NEW SANTRO MAGNA,NEW SANTRO MAGNA,Hyundai,2018,PETROL,30271,Manual,375000,Kolkata
